type                 	output	layer size
--------------------------------------
input               :	128x128x3
  0 : conv2d              :	61x61x64	49456
  1 : batch normalization :	61x61x64	1048
  2 : activation relu     :	61x61x64	28
  3 : conv2d              :	28x28x64	590128
  4 : batch normalization :	28x28x64	1048
  5 : activation relu     :	28x28x64	28
  6 : conv2d              :	12x12x128	819760
  7 : batch normalization :	12x12x128	2072
  8 : activation relu     :	12x12x128	28
  9 : conv2d              :	9x9x256	2098224
 10 : batch normalization :	9x9x256	4120
 11 : activation relu     :	9x9x256	28
 12 : conv2d              :	7x7x18	166008
--------------------------------------
network image size = 3732000 (byte)
optimizer : ADAM
batch size : 50
lamda  CIoU       :      1.000
lamda　DFL        :      1.000
lamda　class      :      1.000
work area (byte) : 17230108
train data file : ..\Data\YOLO\PET_YOLO_AF_DFL_I128_G7_C2_sample50.flt
train data : 50
epoch	loss<total>	loss<CIoU>	loss<DF>	loss<class>	loss<no obj>	accuracy(%)	IoU(%)
1	5.881e+01	1.204e+00	7.596e+00	3.344e-01	4.968e+01	 76.00	 36.09
2	1.227e+01	9.184e-01	8.349e+00	2.982e+00	2.414e-02	 24.00	 50.22
3	1.209e+01	1.057e+00	7.928e+00	3.087e+00	2.255e-02	 24.00	 43.89
4	9.834e+00	9.424e-01	6.300e+00	2.546e+00	4.569e-02	 24.00	 49.27
5	7.027e+00	8.958e-01	4.788e+00	1.178e+00	1.653e-01	 24.00	 51.47
6	6.628e+00	8.799e-01	4.654e+00	4.537e-01	6.405e-01	 64.00	 52.29
7	6.385e+00	8.515e-01	4.567e+00	8.005e-01	1.659e-01	 36.00	 53.53
8	6.396e+00	8.492e-01	4.420e+00	1.070e+00	5.676e-02	 34.00	 53.50
9	6.346e+00	8.368e-01	4.322e+00	1.158e+00	2.950e-02	 60.00	 54.13
10	6.237e+00	8.322e-01	4.252e+00	1.129e+00	2.325e-02	 76.00	 54.40
11	6.042e+00	8.358e-01	4.203e+00	9.743e-01	2.880e-02	 78.00	 54.33
12	5.826e+00	8.336e-01	4.164e+00	7.843e-01	4.368e-02	 80.00	 54.50
13	5.684e+00	8.288e-01	4.139e+00	6.504e-01	6.590e-02	 80.00	 54.74
14	5.767e+00	8.284e-01	4.164e+00	7.480e-01	2.654e-02	 72.00	 54.76
15	5.602e+00	8.135e-01	4.096e+00	6.020e-01	9.048e-02	 80.00	 55.48
16	5.651e+00	8.064e-01	4.071e+00	7.486e-01	2.465e-02	 76.00	 55.86
17	5.538e+00	7.929e-01	3.991e+00	7.268e-01	2.733e-02	 76.00	 56.57
18	5.411e+00	7.772e-01	3.925e+00	6.628e-01	4.533e-02	 78.00	 57.41
19	5.412e+00	7.709e-01	3.858e+00	7.653e-01	1.709e-02	 76.00	 57.82
20	5.318e+00	7.588e-01	3.797e+00	7.415e-01	2.045e-02	 78.00	 58.51
