type                 	output	layer size
--------------------------------------
input               :	128x128x3
  0 : conv2d              :	61x61x64	49456
  1 : batch normalization :	61x61x64	1048
  2 : activation relu     :	61x61x64	28
  3 : conv2d              :	28x28x64	590128
  4 : batch normalization :	28x28x64	1048
  5 : activation relu     :	28x28x64	28
  6 : conv2d              :	12x12x128	819760
  7 : batch normalization :	12x12x128	2072
  8 : activation relu     :	12x12x128	28
  9 : conv2d              :	9x9x256	2098224
 10 : batch normalization :	9x9x256	4120
 11 : activation relu     :	9x9x256	28
 12 : conv2d              :	7x7x18	166008
--------------------------------------
network image size = 3732000 (byte)
optimizer : ADAM
batch size : 50
lamda  CIoU       :      1.000
lamda　DFL        :      1.000
lamda　class      :      1.000
work area (byte) : 17230108
train data file : ..\Data\YOLO\TDP_YOLO_AF_DFL_I128_G7_C2_sample50.flt
train data : 50
epoch	loss<total>	loss<CIoU>	loss<DF>	loss<class>	loss<no obj>	accuracy(%)	IoU(%)
1	5.298e+01	1.737e+00	9.277e+00	6.838e-01	4.128e+01	 47.00	 29.03
2	1.703e+01	1.616e+00	1.219e+01	3.210e+00	7.462e-03	 53.00	 31.44
3	1.593e+01	1.820e+00	1.086e+01	3.248e+00	8.413e-03	 53.00	 27.09
4	1.245e+01	1.472e+00	8.391e+00	2.559e+00	2.922e-02	 53.00	 35.63
5	9.107e+00	1.483e+00	6.314e+00	1.077e+00	2.326e-01	 53.00	 36.52
6	8.200e+00	1.452e+00	5.926e+00	6.549e-01	1.671e-01	 53.00	 38.51
7	8.054e+00	1.415e+00	5.832e+00	7.820e-01	2.528e-02	 75.00	 39.12
8	8.038e+00	1.371e+00	5.617e+00	1.040e+00	9.810e-03	 47.00	 39.69
9	7.704e+00	1.332e+00	5.366e+00	9.654e-01	4.092e-02	 47.00	 41.83
10	7.347e+00	1.288e+00	5.073e+00	9.602e-01	2.545e-02	 47.00	 44.29
11	7.137e+00	1.274e+00	4.918e+00	9.289e-01	1.652e-02	 47.00	 45.36
12	6.865e+00	1.250e+00	4.776e+00	8.115e-01	2.714e-02	 53.00	 46.81
13	6.561e+00	1.209e+00	4.582e+00	7.293e-01	4.090e-02	 68.00	 48.79
14	6.305e+00	1.156e+00	4.366e+00	7.524e-01	3.115e-02	 74.00	 51.11
15	6.078e+00	1.089e+00	4.172e+00	7.964e-01	2.054e-02	 77.00	 53.89
16	5.772e+00	1.022e+00	3.966e+00	7.598e-01	2.422e-02	 79.00	 57.07
17	5.423e+00	9.580e-01	3.737e+00	6.927e-01	3.586e-02	 79.00	 60.05
18	5.156e+00	8.837e-01	3.543e+00	6.976e-01	3.185e-02	 85.00	 63.12
19	4.931e+00	8.181e-01	3.401e+00	6.804e-01	3.073e-02	 88.00	 65.78
20	4.680e+00	7.611e-01	3.266e+00	6.100e-01	4.283e-02	 82.00	 68.09
21	4.508e+00	7.074e-01	3.130e+00	6.421e-01	2.845e-02	 86.00	 70.10
22	4.281e+00	6.640e-01	3.007e+00	5.694e-01	4.066e-02	 86.00	 71.91
23	4.104e+00	6.203e-01	2.883e+00	5.665e-01	3.466e-02	 92.00	 73.79
24	3.886e+00	5.780e-01	2.763e+00	4.900e-01	5.497e-02	 91.00	 75.78
25	3.811e+00	5.369e-01	2.648e+00	6.039e-01	2.155e-02	 92.00	 77.52
26	3.554e+00	4.962e-01	2.558e+00	4.098e-01	9.012e-02	 90.00	 79.12
27	3.781e+00	4.925e-01	2.490e+00	7.940e-01	4.099e-03	 92.00	 78.79
28	3.344e+00	4.450e-01	2.374e+00	4.947e-01	3.058e-02	 95.00	 81.14
29	3.268e+00	4.427e-01	2.384e+00	3.270e-01	1.143e-01	 95.00	 81.24
30	3.407e+00	4.110e-01	2.280e+00	7.110e-01	4.716e-03	 96.00	 82.41
31	3.344e+00	3.976e-01	2.234e+00	7.073e-01	5.433e-03	 96.00	 83.28
32	3.033e+00	3.803e-01	2.201e+00	4.082e-01	4.304e-02	 97.00	 84.27
33	2.942e+00	3.447e-01	2.198e+00	2.783e-01	1.206e-01	 98.00	 85.54
34	2.893e+00	3.161e-01	2.099e+00	4.587e-01	1.856e-02	 97.00	 86.71
35	2.970e+00	3.176e-01	2.092e+00	5.525e-01	7.566e-03	 97.00	 86.79
36	2.789e+00	3.064e-01	2.051e+00	4.110e-01	2.000e-02	 98.00	 87.30
37	2.621e+00	2.677e-01	2.029e+00	2.501e-01	7.481e-02	 98.00	 88.79
38	2.633e+00	2.817e-01	2.023e+00	2.812e-01	4.650e-02	100.00	 88.57
39	2.564e+00	2.190e-01	1.960e+00	3.664e-01	1.807e-02	100.00	 90.88
40	2.659e+00	3.021e-01	1.989e+00	3.445e-01	2.286e-02	100.00	 87.73
41	2.435e+00	2.130e-01	1.931e+00	2.473e-01	4.367e-02	100.00	 91.25
42	2.436e+00	2.326e-01	1.948e+00	2.035e-01	5.251e-02	100.00	 90.67
43	2.370e+00	1.991e-01	1.911e+00	2.308e-01	2.930e-02	100.00	 91.82
44	2.419e+00	2.248e-01	1.915e+00	2.615e-01	1.765e-02	100.00	 90.75
45	2.333e+00	1.854e-01	1.886e+00	2.408e-01	2.059e-02	100.00	 92.17
46	2.296e+00	1.934e-01	1.888e+00	1.851e-01	2.900e-02	100.00	 92.14
47	2.212e+00	1.584e-01	1.864e+00	1.499e-01	3.936e-02	100.00	 93.55
48	2.242e+00	1.759e-01	1.868e+00	1.717e-01	2.558e-02	100.00	 92.79
49	2.190e+00	1.338e-01	1.844e+00	1.933e-01	1.906e-02	100.00	 94.39
50	2.167e+00	1.429e-01	1.847e+00	1.551e-01	2.205e-02	100.00	 93.98
51	2.099e+00	1.228e-01	1.831e+00	1.130e-01	3.218e-02	100.00	 94.85
52	2.113e+00	1.314e-01	1.834e+00	1.258e-01	2.194e-02	100.00	 94.45
53	2.094e+00	1.136e-01	1.824e+00	1.429e-01	1.431e-02	100.00	 95.19
54	2.081e+00	1.265e-01	1.821e+00	1.158e-01	1.799e-02	100.00	 94.76
55	2.037e+00	1.051e-01	1.815e+00	9.613e-02	2.043e-02	100.00	 95.64
56	2.046e+00	1.182e-01	1.815e+00	9.407e-02	1.890e-02	100.00	 95.18
57	2.018e+00	1.019e-01	1.806e+00	9.551e-02	1.508e-02	100.00	 95.74
58	2.018e+00	1.046e-01	1.807e+00	9.391e-02	1.285e-02	100.00	 95.63
59	1.977e+00	9.286e-02	1.800e+00	6.399e-02	2.000e-02	100.00	 96.09
60	1.983e+00	9.852e-02	1.800e+00	6.971e-02	1.450e-02	100.00	 95.77
61	1.973e+00	9.318e-02	1.796e+00	7.190e-02	1.161e-02	100.00	 96.18
62	1.954e+00	7.714e-02	1.792e+00	7.686e-02	8.697e-03	100.00	 96.71
63	1.962e+00	1.005e-01	1.795e+00	5.084e-02	1.492e-02	100.00	 95.89
64	1.988e+00	1.172e-01	1.799e+00	6.304e-02	9.269e-03	100.00	 95.32
65	2.043e+00	1.718e-01	1.815e+00	4.024e-02	1.626e-02	100.00	 93.24
66	2.150e+00	2.124e-01	1.847e+00	8.550e-02	4.429e-03	100.00	 91.59
67	2.125e+00	2.214e-01	1.852e+00	2.534e-02	2.675e-02	100.00	 91.23
68	2.032e+00	1.511e-01	1.813e+00	6.138e-02	6.525e-03	100.00	 94.11
69	1.958e+00	9.623e-02	1.791e+00	6.470e-02	5.453e-03	100.00	 96.02
70	2.084e+00	2.008e-01	1.834e+00	3.586e-02	1.312e-02	100.00	 92.22
71	1.936e+00	9.135e-02	1.790e+00	4.644e-02	7.821e-03	100.00	 96.21
72	2.010e+00	1.428e-01	1.807e+00	5.440e-02	5.576e-03	100.00	 94.40
73	1.969e+00	1.274e-01	1.798e+00	3.165e-02	1.169e-02	100.00	 94.84
74	1.939e+00	1.064e-01	1.791e+00	3.146e-02	1.070e-02	100.00	 95.58
75	1.992e+00	1.335e-01	1.802e+00	5.185e-02	4.578e-03	100.00	 94.64
76	1.921e+00	9.048e-02	1.784e+00	4.047e-02	6.096e-03	100.00	 96.35
77	1.964e+00	1.289e-01	1.798e+00	2.707e-02	1.081e-02	100.00	 94.87
78	1.912e+00	8.592e-02	1.783e+00	3.741e-02	5.752e-03	100.00	 96.54
79	1.945e+00	1.039e-01	1.788e+00	4.957e-02	3.568e-03	100.00	 95.77
80	1.920e+00	1.017e-01	1.783e+00	2.827e-02	7.589e-03	100.00	 96.02
81	1.910e+00	9.368e-02	1.783e+00	2.335e-02	9.899e-03	100.00	 96.16
82	1.917e+00	9.350e-02	1.781e+00	3.892e-02	3.998e-03	100.00	 96.27
83	1.897e+00	7.525e-02	1.780e+00	3.812e-02	3.999e-03	100.00	 96.92
84	1.893e+00	8.382e-02	1.779e+00	2.282e-02	7.842e-03	100.00	 96.52
85	1.883e+00	7.432e-02	1.777e+00	2.542e-02	6.344e-03	100.00	 96.91
86	1.889e+00	7.130e-02	1.778e+00	3.619e-02	3.474e-03	100.00	 96.98
87	1.870e+00	6.307e-02	1.773e+00	2.949e-02	4.379e-03	100.00	 97.44
88	1.882e+00	7.492e-02	1.778e+00	2.272e-02	6.389e-03	100.00	 96.86
